Sample	Contig	Mean
Sample2	37_2-963-1382--1-ID=37_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.660	0.6666667
Sample2	38_1-1-642-1-ID=38_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.593	1.4268292
Sample2	47_2-707-1720--1-ID=47_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.555	3.5150464
Sample2	47_3-1933-4371-1-ID=47_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.576	3.6474442
Sample2	48_1-3-176-1-ID=48_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.471	3
Sample2	48_2-214-1110--1-ID=48_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.506	0.6345382
Sample2	50_2-540-1205-1-ID=50_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.782	1.744186
Sample2	50_3-1379-1630-1-ID=50_3;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.766	1.4509804
Sample2	78_2-113-352-1-ID=78_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.621	4.6666665
Sample2	81_1-3-1064-1-ID=81_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.397	0.7763158
Sample2	82_2-919-1254-1-ID=82_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.420	0.8548387
Sample2	89_2-403-825--1-ID=89_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.534	1.2124542
Sample2	91_3-1070-1882--1-ID=91_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.588	18.621418
Sample2	92_2-308-1645--1-ID=92_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.693	3.7441077
Sample2	101_2-1866-2021--1-ID=101_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.647	1
Sample2	111_2-493-1029-1-ID=111_2;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.598	1.8475453
Sample2	112_2-742-1341-1-ID=112_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.600	1.4088889
Sample2	119_2-1046-1474--1-ID=119_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.494	1.655914
Sample2	119_3-1477-1989--1-ID=119_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.507	0.7988981
Sample2	138_2-364-1563--1-ID=138_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.711	0.9628571
Sample2	159_1-3-995-1-ID=159_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.668	2.0854092
Sample2	160_1-72-692-1-ID=160_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.575	1.717622
Sample2	161_2-477-950--1-ID=161_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.597	7.7191358
Sample2	172_2-800-1375-1-ID=172_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.710	1.9436619
Sample2	179_2-763-1482--1-ID=179_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.478	1.0526316
Sample2	188_1-1-1419--1-ID=188_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.576	0.9968479
Sample2	189_1-2-295-1-ID=189_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.636	0.5416667
Sample2	189_2-332-892-1-ID=189_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.645	1.4111922
Sample2	196_3-2029-2994-1-ID=196_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584	1.6544118
Sample2	198_2-407-745-1-ID=198_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.534	1.5608466
Sample2	200_2-1948-2700-1-ID=200_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.660	2.960199
Sample2	200_3-2823-4121-1-ID=200_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.658	2.370757
Sample2	200_4-4114-4797-1-ID=200_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.702	1.0262172
Sample2	200_5-4961-5386-1-ID=200_5;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.655	3.115942
Sample2	202_2-619-2028--1-ID=202_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577	2.0936508
Sample2	202_4-2653-3405--1-ID=202_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.602	3.1177447
Sample2	203_3-1142-1684--1-ID=203_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390	0.72773534
Sample2	204_2-634-864-1-ID=204_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398	0.50617284
Sample2	204_3-925-1086-1-ID=204_3;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.469	1
Sample2	206_2-382-1011-1-ID=206_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.497	1.1979166
Sample2	218_1-9-380--1-ID=218_1;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.492	0.6531532
Sample2	222_1-3-2117--1-ID=222_1;partial=10;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.677	0.63155216
Sample2	230_3-2183-3205-1-ID=230_3;partial=01;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.691	0.7159221
Sample2	231_3-1117-1653-1-ID=231_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.525	0.53229976
Sample2	239_2-926-1597-1-ID=239_2;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.476	1.8084291
Sample2	241_2-1020-2675-1-ID=241_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.647	1.563081
Sample2	241_3-2686-4029-1-ID=241_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.643	1.2562814
Sample2	241_4-4207-5367-1-ID=241_4;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.622	1.4391692
Sample2	241_5-5378-6697--1-ID=241_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.632	0.64102566
Sample2	252_4-1708-2862--1-ID=252_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.555	0.5970149
Sample2	262_2-545-1504-1-ID=262_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.603	0.6641975
Sample2	269_3-1483-1764-1-ID=269_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.645	1.4242424
Sample2	277_2-1252-1938-1-ID=277_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.517	0.9013035
Sample2	279_3-1303-4092-1-ID=279_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.658	1.3625
Sample2	279_4-4133-4660--1-ID=279_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.667	0.6878307
Sample2	279_5-4699-5466--1-ID=279_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.680	1.2702265
Sample2	279_6-5463-6326--1-ID=279_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.670	1.4355742
Sample2	280_5-4330-5301--1-ID=280_5;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.720	0.95620435
Sample2	280_7-7295-7651--1-ID=280_7;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.745	0.8357488
Sample2	282_1-138-2144--1-ID=282_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.684	0.7075929
Sample2	286_1-50-418--1-ID=286_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593	0.9086758
Sample2	286_2-440-1816--1-ID=286_2;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.598	0.6585167
Sample2	292_1-3-2426-1-ID=292_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.572	0.85576075
Sample2	293_2-390-1286--1-ID=293_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.672	0.70013386
Sample2	294_3-1514-2254-1-ID=294_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.684	0.5076142
Sample2	294_4-2473-4647--1-ID=294_4;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.706	0.57580245
Sample2	294_5-4811-5989-1-ID=294_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.703	0.5442177
Sample2	300_1-2-3487-1-ID=300_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.676	0.57494
Sample2	302_4-4276-4788--1-ID=302_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.277	0.61157024
Sample2	305_1-3-2843-1-ID=305_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.598	0.9665552
Sample2	308_1-1-1749-1-ID=308_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.633	0.5290807
Sample2	309_7-5363-6121--1-ID=309_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.503	0.54844004
Sample2	314_2-365-1774--1-ID=314_2;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.645	2.2968254
Sample2	331_4-2261-4201--1-ID=331_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.704	0.5041876
Sample2	339_1-265-603-1-ID=339_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.652	1.4603175
Sample2	344_2-122-1264--1-ID=344_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.675	0.9063444
Sample2	359_2-617-796--1-ID=359_2;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.661	2.3
Sample2	359_3-914-1393--1-ID=359_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.658	1.030303
Sample2	360_3-942-1157--1-ID=360_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.625	1.8787879
Sample2	360_4-1369-2409--1-ID=360_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.664	0.6734007
Sample2	360_6-3076-3414-1-ID=360_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.602	0.7936508
Sample2	360_7-3513-4265--1-ID=360_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584	1.4925373
Sample2	360_8-4609-5238-1-ID=360_8;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.662	0.6875
Sample2	363_4-2569-3141-1-ID=363_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.707	0.5768322
Sample2	364_1-2-616--1-ID=364_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.701	2
Sample2	364_3-1207-1458--1-ID=364_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.659	1.0980393
Sample2	364_4-1607-2608--1-ID=364_4;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.690	0.7899061
Sample2	371_2-1384-3264--1-ID=371_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.390	0.63720393
Sample2	373_1-1-330-1-ID=373_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.576	0.71666664
Sample2	378_1-2-682-1-ID=378_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.656	0.5555556
Sample2	380_1-287-796--1-ID=380_1;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.480	1.8333334
Sample2	380_2-863-2104--1-ID=380_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544	0.50457877
Sample2	380_3-2363-3619-1-ID=380_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.567	0.6476965
Sample2	380_4-3678-4679--1-ID=380_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.564	1.5938967
Sample2	380_5-4768-4938--1-ID=380_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.509	8
Sample2	382_1-3-992-1-ID=382_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.579	1.2261904
Sample2	384_3-695-1159-1-ID=384_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.576	0.5619048
Sample2	387_2-113-1423--1-ID=387_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.708	0.7364341
Sample2	401_2-804-1616--1-ID=401_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.685	3.5279036
Sample2	402_2-715-1497--1-ID=402_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.604	0.51816744
Sample2	402_3-1577-1957-1-ID=402_3;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.630	1.6969697
Sample2	402_7-7348-8955--1-ID=402_7;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.608	0.7757202
Sample2	408_1-77-421-1-ID=408_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368	1.3487179
Sample2	408_2-547-1332-1-ID=408_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.458	0.8867925
Sample2	409_1-2-745-1-ID=409_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.718	0.5050505
Sample2	409_4-2256-3200--1-ID=409_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.734	0.9383648
Sample2	409_5-3275-4057--1-ID=409_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.710	0.7109005
Sample2	413_4-3380-4036-1-ID=413_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.671	0.6765286
Sample2	413_5-4096-4782-1-ID=413_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.715	0.6443203
Sample2	413_8-7108-8508--1-ID=413_8;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.683	0.9496403
Sample2	414_2-145-933-1-ID=414_2;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.460	0.9389671
Sample2	419_1-1-777-1-ID=419_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.395	0.76395535
Sample2	419_2-787-1314--1-ID=419_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364	0.515873
Sample2	419_3-1421-2116-1-ID=419_3;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=7bp;gc_cont=0.325	0.5494506
Sample2	419_4-2140-2292-1-ID=419_4;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353	2
Sample2	421_2-154-462-1-ID=421_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.650	0.8867925
Sample2	421_6-2270-2551-1-ID=421_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.638	0.6287879
Sample2	424_3-1024-1911-1-ID=424_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.659	2.682927
Sample2	424_4-1916-3238-1-ID=424_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.685	3.4151747
Sample2	424_5-3235-4641-1-ID=424_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.639	2.1145585
Sample2	424_6-4742-5323-1-ID=424_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.639	2.101852
Sample2	424_7-5383-5868-1-ID=424_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.656	3.8869047
Sample2	424_8-6049-6804-1-ID=424_8;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.646	1.3877888
Sample2	424_9-6818-7711-1-ID=424_9;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.667	2.9905913
Sample2	424_11-8793-9776--1-ID=424_11;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.650	2.0251799
Sample2	424_12-9905-10651-1-ID=424_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.664	4.2060304
Sample2	431_1-3-686-1-ID=431_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.572	0.8426966
Sample2	431_2-714-1517--1-ID=431_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.600	1.8654435
Sample2	432_1-1-486-1-ID=432_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.671	1.8392857
Sample2	432_2-534-1166--1-ID=432_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.540	3.7308488
Sample2	432_3-1292-1738-1-ID=432_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640	1.5622896
Sample2	432_4-1735-2079-1-ID=432_4;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.626	2.0102565
Sample2	432_5-2076-2432-1-ID=432_5;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.611	1.8695652
Sample2	432_6-2423-2722--1-ID=432_6;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.593	3.4733334
Sample2	434_1-1-2370--1-ID=434_1;partial=10;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.568	0.52162164
Sample2	434_3-3914-5017-1-ID=434_3;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.565	2.3123689
Sample2	440_2-153-470-1-ID=440_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.503	2.8630953
Sample2	440_3-660-1019--1-ID=440_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.450	1.2904762
Sample2	460_2-622-1401-1-ID=460_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.596	1.8555555
Sample2	468_2-264-596-1-ID=468_2;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.763	0.8196721
Sample2	468_4-863-1144--1-ID=468_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.727	1.6439394
Sample2	468_5-1182-2240--1-ID=468_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.708	1.650165
Sample2	468_6-2288-2707--1-ID=468_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.707	1.4296297
Sample2	468_7-2975-3904--1-ID=468_7;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.748	1.3435898
Sample2	480_1-3-863-1-ID=480_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.574	2.158931
Sample2	480_2-1293-2690--1-ID=480_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.610	1.4647436
Sample2	486_2-213-2600-1-ID=486_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.628	1.4428061
Sample2	487_2-583-1182--1-ID=487_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.567	2.8
Sample2	492_2-712-1194-1-ID=492_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.505	0.7237237
Sample2	493_2-98-574--1-ID=493_2;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.602	4.2324157
Sample2	493_3-631-4287-1-ID=493_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654	2.8280582
Sample2	497_2-2079-4508-1-ID=497_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.470	5.205702
Sample2	500_2-1677-1919--1-ID=500_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.510	1.6774193
Sample2	503_5-3730-4398-1-ID=503_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540	1.2350675
Sample2	510_1-2-550--1-ID=510_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634	0.61904764
Sample2	511_3-3501-3875-1-ID=511_3;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=12bp;gc_cont=0.349	0.72
Sample2	516_2-225-1295-1-ID=516_2;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=7bp;gc_cont=0.492	0.81433225
Sample2	523_4-841-1152--1-ID=523_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.673	1.1234568
Sample2	524_1-257-1186--1-ID=524_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.672	0.99230766
Sample2	535_1-1-441-1-ID=535_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.671	0.85223365
Sample2	537_5-3379-4275-1-ID=537_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.582	9.974565
Sample2	537_8-6351-6773--1-ID=537_8;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.678	15.282051
Sample2	537_9-6770-7354--1-ID=537_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.682	12.22069
Sample2	537_11-7928-8773--1-ID=537_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.726	3.6738505
